city,country,lat,lon,temp,humidity,cloudiness,wind speed
Tishchenskoye,RU,45.46,41.67,65.07,52,0,13.42
Padang,ID,-0.95,100.35,78.94,76,100,4.36
Hofn,IS,64.25,-15.21,47.46,78,0,11.88
Vaini,TO,-21.2,-175.2,71.6,68,40,9.17
Jamestown,US,42.1,-79.24,52.16,76,90,6.93
Flin Flon,CA,54.77,-101.86,33.8,86,90,18.34
Hilo,US,19.73,-155.09,69.55,78,90,8.05
Uvinza,TZ,-5.1,30.39,74.41,74,98,7.16
Keti Bandar,PK,24.14,67.45,85.64,41,0,7.78
Iqaluit,CA,63.75,-68.51,24.8,68,40,4.7
Albany,US,42.6,-73.97,51.01,90,100,3.13
Mar del Plata,AR,-38.0,-57.56,62.24,60,0,6.93
Hong Kong,HK,22.29,114.16,74.43,88,100,1.01
Port Elizabeth,ZA,-33.92,25.57,62.6,59,4,24.16
Norman Wells,CA,65.28,-126.83,19.4,79,90,2.24
Tai’an,CN,36.19,117.12,64.0,70,100,3.74
Bredasdorp,ZA,-34.53,20.04,62.6,48,25,9.17
Punta Arenas,CL,-53.15,-70.92,44.6,70,75,29.97
Vila do Maio,CV,15.13,-23.22,86.0,58,40,12.75
Isangel,VU,-19.55,169.27,77.0,83,20,8.5
Huty,UA,50.13,35.34,64.18,62,83,10.2
Souillac,MU,-20.52,57.52,75.2,83,75,8.05
Qasigiannguit,GL,68.82,-51.19,39.2,85,75,3.36
Rumoi,JP,43.93,141.64,48.7,68,60,1.83
Nibbar,TN,36.29,8.77,73.4,35,40,3.36
Abu Kamal,SY,34.45,40.92,83.84,14,60,11.88
Bratsk,RU,56.13,101.61,26.6,79,100,4.47
Saint Paul Harbor,US,57.79,-152.41,46.4,75,90,9.17
Rusape,ZW,-18.53,32.13,67.35,72,79,1.7
Dongsheng,CN,39.82,109.98,43.47,53,100,6.33
Mukhen,RU,48.1,136.1,38.62,73,93,7.38
Cherskiy,RU,68.75,161.3,29.39,89,98,15.12
Severo-Kuril'sk,RU,50.68,156.12,49.37,88,100,34.63
Butaritari,KI,3.07,172.79,81.97,73,30,18.12
Codrington,AU,-38.27,141.97,41.58,89,60,7.23
Umm Kaddadah,SD,13.6,26.69,96.53,14,25,7.94
Vila Velha,BR,-20.33,-40.29,75.74,83,40,3.36
Airai,TL,-8.93,125.41,60.93,78,100,2.73
Hobart,AU,-42.88,147.33,41.18,87,75,6.93
Belmonte,BR,-15.86,-38.88,80.6,74,75,11.41
Tautira,PF,-17.73,-149.15,73.4,69,20,2.24
Zyuzel'skiy,RU,56.49,60.13,51.8,50,40,8.95
Saskylakh,RU,71.92,114.08,20.25,96,96,9.69
Quang Ngai,VN,15.12,108.8,75.81,90,100,3.4
Mataura,NZ,-46.19,168.86,45.0,76,40,17.0
Bertoua,CM,4.58,13.68,76.73,86,35,1.86
Vardø,NO,70.37,31.11,33.8,80,20,10.29
Pevek,RU,69.7,170.31,24.28,87,100,11.01
Rawson,AR,-43.3,-65.1,78.08,21,100,20.74
Geraldton,AU,-28.77,114.6,66.2,77,90,9.17
Belgrade,RS,44.8,20.47,48.2,81,75,17.22
Marystown,CA,47.17,-55.15,51.01,100,0,1.01
Saurimo,AO,-9.66,20.39,71.73,71,38,10.65
Sabha,LY,27.04,14.43,87.78,22,0,9.37
East London,ZA,-33.02,27.91,64.4,55,1,25.28
Leningradskiy,RU,69.38,178.42,18.07,87,18,4.56
Surgut,RU,61.25,73.42,46.4,81,100,13.42
Ribeira Grande,PT,38.52,-28.7,71.6,68,40,21.92
Narsaq,GL,60.92,-46.05,41.0,75,75,8.97
Bosanska Krupa,BA,44.88,16.15,44.33,85,83,3.83
Lorengau,PG,-2.02,147.27,82.26,78,96,7.05
Buriti Bravo,BR,-5.84,-43.83,98.46,26,73,4.99
Faanui,PF,-16.48,-151.75,78.01,79,3,11.23
Coahuayana Viejo,MX,18.73,-103.68,75.2,83,75,0.87
Klaksvík,FO,62.23,-6.59,48.2,81,86,2.24
Kaitangata,NZ,-46.28,169.85,45.0,60,40,15.01
Fortuna,US,40.6,-124.16,53.6,100,75,6.93
North Branford,US,41.33,-72.77,53.85,93,90,12.75
Parrita,CR,9.52,-84.32,75.38,57,81,5.82
Port Macquarie,AU,-31.43,152.92,52.48,96,0,4.97
Viedma,AR,-40.81,-63.0,88.0,22,1,15.01
Silvânia,BR,-16.66,-48.61,87.8,35,65,4.7
Clyde River,CA,70.47,-68.59,24.8,92,75,17.22
Pincher Creek,CA,49.48,-113.95,38.68,55,100,10.29
Tuatapere,NZ,-46.13,167.68,44.01,79,62,13.0
Bilibino,RU,68.05,166.44,23.38,86,97,2.48
São Félix do Xingu,BR,-6.64,-51.99,97.38,30,69,5.99
Te Anau,NZ,-45.42,167.72,34.59,88,14,2.75
Morón,AR,-34.65,-58.62,75.27,38,0,1.99
Sagua la Grande,CU,22.81,-80.08,86.0,74,75,6.93
Cayenne,GF,4.93,-52.33,89.6,55,40,9.17
Alice Springs,AU,-23.7,133.88,64.4,27,0,3.36
Plainfield,US,40.62,-74.42,57.38,100,90,10.29
George Town,MY,5.41,100.34,78.4,94,20,2.24
Kalnibolotskaya,RU,46.01,40.46,71.24,42,6,11.45
Havøysund,NO,71.0,24.66,36.52,69,75,4.7
Longyearbyen,SJ,78.22,15.64,33.8,69,75,2.24
Yablonovo,RU,50.85,37.36,64.4,68,100,4.47
Yellowknife,CA,62.46,-114.35,22.57,67,75,24.16
Vestmannaeyjar,IS,63.44,-20.27,46.4,87,90,11.41
Castro,BR,-24.79,-50.01,82.51,33,0,7.43
Yangi Marg`ilon,UZ,40.43,71.72,53.6,66,0,4.7
Lucapa,AO,-8.42,20.74,79.3,60,1,1.21
Kirkkonummi,FI,60.12,24.44,45.0,84,5,6.51
Samaná,DO,19.21,-69.34,87.8,74,40,5.79
Kita,ML,13.03,-9.49,91.18,47,78,1.19
Iracoubo,GF,5.48,-53.2,86.7,64,59,14.05
Sheboygan,US,43.73,-87.93,57.65,47,90,18.34
Bluff,NZ,-46.6,168.33,44.01,79,80,13.0
Charters Towers,AU,-20.1,146.27,64.62,89,1,9.73
College,US,64.86,-147.8,23.81,49,90,9.17
Tiksi,RU,71.69,128.87,12.04,96,86,3.89
Zhangaözen,KZ,43.3,52.8,59.18,27,8,15.84
Broome,US,42.25,-75.83,52.5,100,90,6.93
Tuktoyaktuk,CA,69.45,-133.04,23.0,79,75,12.75
Shakawe,BW,-18.37,21.85,91.65,18,49,7.07
Shingū,JP,33.73,135.98,60.96,66,0,6.38
Nouadhibou,MR,20.93,-17.03,80.6,65,0,8.05
Mercedes,AR,-34.65,-59.43,75.74,43,0,5.01
Lompoc,US,34.64,-120.46,59.16,51,1,6.93
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,48.2,76,75,15.66
Sitka,US,57.05,-135.33,37.4,100,90,4.05
Russell,US,32.35,-85.2,78.31,78,1,5.82
Salé,MA,34.04,-6.82,69.87,68,0,8.05
Dikson,RU,73.51,80.55,31.57,89,97,5.23
Otjiwarongo,NA,-20.46,16.65,91.53,11,0,14.36
Hermanus,ZA,-34.42,19.23,64.0,58,43,1.01
Giohar,SO,2.78,45.5,80.29,71,31,16.37
San Jose,US,37.34,-121.89,58.53,62,20,3.36
Atuona,PF,-9.8,-139.03,77.5,75,57,18.66
Acapulco de Juárez,MX,16.86,-99.89,84.2,70,20,5.82
Yoichi,JP,43.2,140.77,46.45,93,43,8.7
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,90.05,23,16,7.14
Paamiut,GL,61.99,-49.67,37.09,92,47,3.15
Beloha,MG,-25.17,45.05,67.14,77,67,12.03
Athabasca,CA,54.72,-113.29,34.65,86,1,8.1
Puerto Ayora,EC,-0.74,-90.35,71.91,78,40,6.93
Avanigadda,IN,16.02,80.92,78.8,100,75,2.24
Nhulunbuy,AU,-12.23,136.77,77.0,83,11,4.7
Dno,RU,57.83,29.96,43.93,96,90,3.42
Kiama,AU,-34.68,150.87,61.68,85,88,1.01
Namatanai,PG,-3.67,152.43,77.0,93,100,7.7
Kastamonu Province,TR,41.5,33.67,64.29,36,0,3.67
Santa Maria,BR,-29.68,-53.81,72.63,48,0,4.43
Ilulissat,GL,69.22,-51.1,39.2,79,75,3.36
Solnechnyy,RU,50.72,136.63,30.87,83,14,1.03
Söderhamn,SE,61.3,17.06,46.0,81,31,3.0
Laguna,US,38.42,-121.42,56.14,71,1,1.1
Lethbridge,CA,49.7,-112.82,35.6,69,75,8.05
Kjøllefjord,NO,70.95,27.35,33.8,78,90,8.05
Sibolga,ID,1.74,98.78,77.59,80,100,2.28
Haines Junction,CA,60.75,-137.51,32.11,91,95,1.74
Novopokrovka,UA,49.84,36.55,64.2,63,85,8.95
Ancud,CL,-41.87,-73.82,51.06,87,75,11.41
Maniitsoq,GL,65.42,-52.9,40.28,76,69,10.27
Mehamn,NO,71.04,27.85,33.8,79,90,8.05
Olean,US,42.08,-78.43,52.16,100,90,5.82
Kahului,US,20.89,-156.47,73.49,69,1,11.01
Emerald,AU,-23.53,148.17,68.56,68,42,12.75
Kruisfontein,ZA,-34.0,24.73,63.0,54,9,5.99
Ixtapa,MX,20.7,-105.2,82.81,78,75,11.41
Hithadhoo,MV,-0.6,73.08,82.53,73,3,11.39
Carauari,BR,-4.88,-66.9,98.28,34,78,4.09
Torbay,CA,47.67,-52.73,49.14,57,20,6.93
Bayangol,RU,50.7,103.47,23.31,81,77,1.41
Thompson,CA,55.74,-97.86,33.8,94,75,18.34
Makakilo City,US,21.35,-158.09,74.43,88,20,8.48
Bathsheba,BB,13.22,-59.52,87.8,70,40,10.29
Bozeman,US,45.68,-111.04,41.23,69,90,3.53
Tasiilaq,GL,65.61,-37.64,42.8,81,75,33.33
Dwārka,IN,22.24,68.97,85.73,59,31,11.74
Beringovskiy,RU,63.05,179.32,31.41,85,0,2.68
Tambilil,PH,5.96,124.67,79.16,73,79,2.95
Eganville,CA,45.53,-77.1,52.97,100,90,3.36
Mossamedes,AO,-15.2,12.15,71.6,73,40,17.22
Ust'-Koksa,RU,50.27,85.61,33.15,92,98,2.08
Srednekolymsk,RU,67.45,153.68,35.08,83,85,9.24
São Filipe,CV,14.9,-24.5,79.11,76,25,13.91
Piteå,SE,65.32,21.48,41.0,84,1,6.93
Avera,US,33.19,-82.53,78.64,88,1,6.93
Slave Lake,CA,55.28,-114.77,37.4,74,90,8.05
Rundu,NA,-17.93,19.77,92.75,15,51,9.48
Pacific Grove,US,36.62,-121.92,56.19,71,1,3.36
Kenai,US,60.55,-151.26,37.31,93,90,3.36
Durban,ZA,-29.86,31.03,68.43,68,40,19.46
Talnakh,RU,69.49,88.4,26.6,92,75,13.42
Diamantino,BR,-14.41,-56.45,101.62,25,8,6.49
Verkhnedneprovskiy,RU,54.98,33.35,54.66,92,99,6.33
Malinovoye Ozero,RU,51.68,79.78,49.21,62,100,3.0
Östersund,SE,63.18,14.64,42.8,81,40,5.82
Nong Chik,TH,6.84,101.18,78.22,81,100,10.31
Cap Malheureux,MU,-19.98,57.61,75.0,79,17,5.99
Los Llanos de Aridane,ES,28.66,-17.92,78.8,74,22,13.87
Port Keats,AU,-14.25,129.55,81.25,82,0,3.44
San-Pédro,CI,4.75,-6.64,79.79,82,25,9.08
Smithers,CA,54.78,-127.17,32.0,81,90,2.48
Lamu,KE,-2.27,40.9,82.4,74,1,9.17
Council Bluffs,US,41.26,-95.86,60.64,48,20,20.8
Nanortalik,GL,60.14,-45.24,38.05,93,100,15.19
Cumberland,US,35.05,-78.87,70.23,78,40,7.49
Port Alfred,ZA,-33.59,26.89,61.02,64,2,20.36
Ahipara,NZ,-35.17,173.17,53.67,88,100,7.43
Paharpur,PK,32.1,70.97,83.03,23,9,10.13
Raychikhinsk,RU,49.78,129.41,27.95,90,12,11.77
Araouane,ML,18.9,-3.53,101.79,14,0,10.92
Mahabalipuram,IN,12.63,80.17,87.8,55,75,8.05
Elizabeth City,US,36.29,-76.25,66.25,93,90,6.93
Evensk,RU,61.95,159.23,37.15,86,100,6.42
Zhigansk,RU,66.77,123.37,12.31,95,98,10.65
Falun,SE,60.6,15.63,46.06,65,49,8.05
Cabo San Lucas,MX,22.89,-109.91,69.8,88,90,5.82
Maunabo,PR,18.01,-65.9,86.23,100,31,7.0
Bom Jesus,BR,-9.07,-44.36,99.01,22,1,8.5
North Bend,US,43.41,-124.22,61.18,87,90,9.17
Stary Krym,UA,45.03,35.1,63.3,78,59,8.46
Los Alamos,US,35.89,-106.31,55.38,18,1,6.93
Cassilândia,BR,-19.11,-51.73,107.02,16,2,3.22
Port-Gentil,GA,-0.72,8.78,82.4,69,40,18.34
Aborlan,PH,9.44,118.55,77.0,94,90,4.7
Puerto Quijarro,BO,-17.78,-57.77,111.63,17,23,3.65
Portland,US,45.52,-122.68,57.06,82,90,17.22
Atar,MR,20.52,-13.05,95.0,36,40,6.93
Bengkulu,ID,-3.8,102.27,76.8,88,100,3.24
Qaanaaq,GL,77.48,-69.36,23.5,81,0,7.07
Nome,US,64.5,-165.41,21.2,79,1,3.36
Praia da Vitória,PT,38.73,-27.07,73.24,69,20,16.13
Poli,TZ,-3.33,36.8,71.19,44,14,5.41
Yate,GB,51.54,-2.42,53.08,81,23,10.07
Ust-Kuyga,RU,70.02,135.6,10.63,94,84,1.66
Yulara,AU,-25.24,130.99,68.0,20,0,8.05
Great Falls,US,47.5,-111.3,46.71,45,90,10.29
Wattegama,LK,6.8,81.48,80.6,83,20,8.05
Potenza,IT,40.64,15.81,51.01,78,98,5.01
Landeck,AT,47.13,10.56,46.18,48,20,9.17
Cidreira,BR,-30.18,-50.21,68.18,62,55,7.27
Sawākin,SD,19.11,37.33,85.71,67,0,7.4
Ninghai,CN,29.29,121.42,60.8,87,0,4.47
San Cristobal,VE,7.77,-72.22,87.8,45,75,20.8
Honiara,SB,-9.43,159.95,75.2,94,75,4.7
Kavieng,PG,-2.57,150.8,82.09,81,100,12.33
Wewak,PG,-3.55,143.63,79.29,83,100,0.07
Bagotville,AU,-28.98,153.42,55.8,87,75,5.82
Saint-Philippe,RE,-21.36,55.77,72.16,73,42,3.36
Huanuni,BO,-18.27,-66.85,64.4,42,20,11.41
Kendari,ID,-3.94,122.5,76.51,86,100,0.58
Dezhou,CN,37.45,116.29,61.3,30,100,3.76
Malya,TZ,-2.98,33.52,78.84,54,98,9.98
Hambantota,LK,6.12,81.12,80.6,83,20,8.05
Gorontalo,ID,0.54,123.06,76.5,83,99,2.17
Poum,NC,-20.23,164.02,75.47,82,0,6.22
Khatanga,RU,71.97,102.5,11.97,96,74,8.84
Zambezi,ZM,-13.54,23.1,79.88,45,72,5.03
Seydişehir,TR,37.42,31.85,61.29,60,0,3.56
Köping,SE,59.51,15.99,48.81,70,40,2.24
Baturaja,ID,-4.13,104.17,75.04,92,100,2.08
Kandrian,PG,-6.22,149.55,78.01,87,98,6.67
Ternate,ID,0.8,127.4,81.07,77,100,2.51
Champerico,GT,14.3,-91.92,84.2,70,75,4.12
Tigil',RU,57.8,158.67,36.64,73,100,9.91
Arrondissement de Beaune,FR,47.08,4.75,48.36,81,100,3.36
Mount Gambier,AU,-37.83,140.77,42.8,93,56,4.7
Port Hardy,CA,50.7,-127.42,44.6,87,75,36.91
Garissa,KE,-0.45,39.64,89.28,43,14,14.74
Gaya,IN,24.78,85.0,84.2,83,40,2.77
Najrān,SA,17.49,44.13,82.4,21,0,9.17
Deputatsky,RU,69.3,139.9,11.07,96,99,0.87
Nishihara,JP,26.18,127.76,73.58,78,5,4.7
Ust-Maya,RU,60.42,134.53,21.45,94,70,6.4
Kiruna,SE,67.86,20.23,35.6,69,94,1.12
Tiarei,PF,-17.53,-149.33,73.4,69,20,2.24
Tarauacá,BR,-8.16,-70.77,100.63,30,1,3.11
Bubaque,GW,11.28,-15.83,80.31,83,79,19.48
Camacha,PT,33.08,-16.33,73.4,64,20,12.75
Pesqueira,BR,-8.36,-36.7,91.78,21,18,14.54
Sretensk,RU,52.25,117.71,24.06,83,0,3.18
Kiryat Gat,IL,31.61,34.76,78.24,54,49,12.75
Escárcega,MX,18.61,-90.75,88.5,51,43,3.83
Valea Ursului,RO,46.82,27.08,62.55,82,75,20.8
Kūdligi,IN,14.9,76.38,72.07,90,100,11.9
San Quintín,MX,30.48,-115.95,83.62,30,0,1.41
Lüshunkou,CN,38.8,121.27,51.8,21,99,6.71
Dunedin,NZ,-45.87,170.5,44.91,67,70,3.0
Bambous Virieux,MU,-20.34,57.76,75.11,83,75,8.05
Alofi,NU,-19.06,-169.92,71.6,73,11,12.75
Ust'-Kut,RU,56.79,105.77,24.87,85,0,3.15
Ulladulla,AU,-35.35,150.47,57.65,87,90,8.05
São Domingos,BR,-13.4,-46.32,93.63,32,39,3.76
Ayacucho,PE,-13.16,-74.22,66.2,37,40,2.24
Ploskoye,RU,52.76,38.36,58.44,79,100,7.72
Encrucijada,CU,22.62,-79.87,86.0,74,75,6.93
Torit,SS,4.41,32.57,70.81,86,97,1.95
Shubarkuduk,KZ,49.14,56.49,53.67,33,100,4.99
Mahébourg,MU,-20.41,57.7,75.2,83,75,8.05
Nova Granada,BR,-20.53,-49.31,101.5,23,58,2.26
Lata,PT,40.16,-8.33,63.32,77,24,10.0
Nyrob,RU,60.73,56.72,43.0,93,100,6.87
Bahādurganj,IN,26.27,87.82,78.8,88,20,1.12
Teahupoo,PF,-17.83,-149.27,73.4,69,20,2.24
Gizo Government Station,SB,-8.1,156.84,78.84,86,100,33.11
Provideniya,RU,64.38,-173.3,29.23,90,0,3.2
Oussouye,SN,12.48,-16.55,84.81,67,100,7.43
Constitución,CL,-35.33,-72.42,63.66,49,0,14.0
Coquimbo,CL,-29.95,-71.34,53.6,93,90,8.05
Leh,IN,34.17,77.58,42.46,45,0,3.69
Nuevitas,CU,21.55,-77.26,86.0,70,40,9.17
Halifax,CA,44.65,-63.57,54.37,71,75,11.41
Bacabal,BR,-4.29,-44.79,95.67,36,74,4.21
Alekseyevsk,RU,57.84,108.35,26.4,85,93,4.85
Saldanha,ZA,-33.01,17.94,66.2,45,58,19.46
Muros,ES,42.78,-9.06,60.55,68,50,8.99
Arrondissement de Vire,FR,48.92,-0.83,50.0,87,100,10.29
Meulaboh,ID,4.14,96.13,76.51,82,98,4.85
Barrow,US,71.29,-156.79,26.6,53,75,12.75
Alta Floresta,BR,-9.88,-56.09,102.83,26,23,3.74
Beeville,US,28.4,-97.75,79.05,57,13,3.0
Sisimiut,GL,66.94,-53.67,37.04,78,99,8.97
Mizhou,CN,35.99,119.4,61.97,57,100,5.44
Nikolskoye,RU,59.7,30.79,44.87,87,20,1.92
Pailón,BO,-17.65,-62.75,95.0,30,93,2.24
Bundaberg,AU,-24.85,152.35,64.72,72,5,8.05
Pringsewu,ID,-5.36,104.97,74.7,93,77,3.2
Zemio,CF,5.03,25.14,74.53,89,83,4.38
Nouakchott,MR,18.09,-15.98,89.6,55,20,9.17
Arraial do Cabo,BR,-22.97,-42.03,82.4,61,4,20.8
Rio Grande,BR,-32.03,-52.1,60.98,75,99,7.94
Laela,TZ,-8.57,32.05,75.34,46,82,6.04
Birao,CF,10.28,22.79,83.26,60,44,2.89
Ishigaki,JP,24.34,124.16,79.45,73,80,18.48
Kattivākkam,IN,13.22,80.32,87.8,55,75,8.05
Tessalit,ML,20.2,1.01,100.0,10,0,12.48
Kalmunai,LK,7.42,81.82,81.88,65,19,7.56
Kantang,TH,7.41,99.52,77.45,88,100,8.05
Vargashi,RU,55.36,65.85,46.8,56,99,9.04
Chapais,CA,49.78,-74.85,39.2,93,90,11.41
Mukdahan,TH,16.58,104.5,72.18,90,100,1.95
Katsuura,JP,35.13,140.3,69.44,73,75,6.93
Hīt,IQ,33.64,42.83,80.53,16,0,5.73
Tommot,RU,58.96,126.29,21.76,94,100,9.6
Kasama,ZM,-10.21,31.18,75.97,49,92,3.47
Poltavka,RU,54.37,71.76,47.75,79,100,7.09
Santa Isabel Rio Negro,BR,-0.41,-65.02,97.59,38,88,3.09
Omboué,GA,-1.57,9.26,77.65,79,61,11.63
Ivanjica,RS,43.58,20.23,48.72,58,40,3.36
Sosnovo-Ozerskoye,RU,52.52,111.54,20.43,88,12,4.97
Ecoporanga,BR,-18.37,-40.83,81.59,58,98,4.56
Hamilton,US,39.18,-84.53,60.33,72,1,1.19
Lagoa,PT,39.05,-27.98,68.99,75,80,14.03
Radaur,IN,30.03,77.15,77.2,40,0,3.02
Harper,LR,4.38,-7.72,78.76,86,97,9.42
Ha Giang,VN,22.83,104.98,75.94,70,70,3.06
Port Hedland,AU,-20.32,118.57,77.0,65,1,8.05
La Rioja,ES,42.25,-2.5,60.39,59,40,6.93
Timizart,DZ,36.8,4.27,65.41,50,0,7.02
Sayyan,YE,15.17,44.32,63.59,29,0,9.31
Archena,ES,38.12,-1.3,81.21,26,51,2.24
Sangar,RU,63.92,127.47,18.21,97,93,4.83
Lüderitz,NA,-26.65,15.16,76.62,32,0,26.31
Gazli,UZ,40.13,63.45,57.76,32,0,11.61
Tucuruí,BR,-3.77,-49.67,96.87,36,56,3.15
Aksarka,RU,66.56,67.8,40.3,91,100,13.15
Chuguyevka,RU,44.17,133.86,36.55,79,20,8.3
Vila Franca do Campo,PT,37.72,-25.43,71.6,73,75,12.75
San Patricio,US,28.02,-97.52,79.66,65,20,4.7
Caravelas,BR,-17.71,-39.25,76.75,87,84,8.25
Turukhansk,RU,65.82,87.98,31.05,99,100,6.38
Diego de Almagro,CL,-26.37,-70.05,77.58,21,0,11.77
Kabalo,CD,-6.05,26.92,75.67,85,98,2.89
Gurkovo,BG,42.67,25.8,62.55,73,20,13.87
Assiut,EG,27.18,31.18,91.4,38,21,11.41
Pemangkat,ID,1.17,108.97,79.68,82,96,1.14
Mitsamiouli,KM,-11.38,43.28,80.06,77,26,5.57
Hobyo,SO,5.35,48.53,80.56,80,16,14.56
Irauçuba,BR,-3.75,-39.78,99.01,21,0,8.95
Haimen,CN,23.19,116.61,75.2,78,20,8.95
Baní,DO,18.28,-70.33,87.6,70,40,6.93
Cooma,AU,-36.23,149.13,48.2,100,90,12.75
Surazh,RU,53.02,32.39,57.54,81,34,8.5
Atambua,ID,-9.11,124.89,73.99,84,81,4.38
Souris,CA,49.62,-100.26,42.91,56,75,23.04
Voinka,UA,45.87,33.99,70.23,56,3,11.36
Osa,RU,57.28,55.46,45.61,77,84,5.75
Tura,IN,25.52,90.22,75.06,88,6,2.37
Tomigusuku,JP,26.18,127.67,73.98,69,20,8.05
Sioux Lookout,CA,50.1,-91.92,42.8,87,40,8.05
Port Blair,IN,11.67,92.75,81.23,82,98,13.2
Hartselle,US,34.44,-86.94,64.08,55,1,4.7
Olinda,BR,-8.01,-34.86,86.0,58,75,13.87
Carutapera,BR,-1.2,-46.02,87.87,55,30,10.78
Desenzano del Garda,IT,45.47,10.53,60.22,33,84,8.05
Loei,TH,17.42,101.5,65.82,89,100,2.42
Khovd,MN,48.01,91.64,36.79,69,66,7.29
Daragutan,PH,17.0,122.03,73.94,87,60,3.78
San Andrés,CO,12.58,-81.7,87.8,74,75,10.29
Kibala,TD,9.11,18.35,91.4,52,20,3.36
Half Moon Bay,US,37.46,-122.43,61.23,72,5,3.36
Cotonou,BJ,6.37,2.42,84.2,79,40,17.22
Balabac,PH,7.99,117.06,81.72,80,100,6.11
Tigre,AR,-34.43,-58.58,73.6,53,0,8.05
Cody,US,44.53,-109.06,49.46,45,1,16.11
Verkhnyaya Inta,RU,65.98,60.31,43.65,90,100,18.59
Yining,CN,29.04,114.56,63.25,91,4,2.28
Almaznyy,RU,48.04,40.05,66.2,59,56,13.42
Kutum,SD,14.2,24.67,87.26,13,0,11.12
Sakaiminato,JP,35.55,133.23,60.8,93,40,5.82
Plaster Rock,CA,46.91,-67.39,48.74,57,1,13.87
Valdivia,CL,-39.81,-73.25,60.8,72,20,3.36
Darhan,MN,49.49,105.92,29.12,81,75,3.42
Dzerzhinskoye,RU,56.83,95.23,35.67,96,100,1.3
Brae,GB,60.4,-1.35,50.0,76,40,19.46
Tabou,CI,4.42,-7.35,79.18,84,54,9.53
Semnan,IR,35.57,53.4,57.94,31,0,0.92
Chaman,PK,30.92,66.45,47.62,43,0,0.13
Praia,CV,14.92,-23.51,86.0,58,40,12.75
West Wendover,US,40.74,-114.07,48.2,45,1,3.36
Ankola,IN,14.67,74.3,77.63,88,100,3.44
Berdigestyakh,RU,62.1,126.7,19.36,88,100,8.16
Shalakusha,RU,62.22,40.25,45.27,91,100,3.11
Nelson Bay,AU,-32.72,152.15,65.3,88,90,17.22
Takapau,NZ,-40.03,176.35,53.01,73,4,13.0
Mandalgovi,MN,45.76,106.27,27.07,71,87,5.32
Boddam,GB,57.47,-1.78,51.58,76,75,12.75
Dauriya,RU,49.93,116.87,23.2,83,4,7.09
Salon-de-Provence,FR,43.64,5.1,63.12,48,56,6.93
Egvekinot,RU,66.32,-179.17,20.19,90,7,5.03
Hokitika,NZ,-42.72,170.97,50.05,87,100,3.53
Jensen Beach,US,27.25,-80.23,82.62,74,40,11.41
Silver City,US,32.77,-108.28,70.03,18,40,3.36
Boshnyakovo,RU,49.63,142.17,37.78,72,9,5.61
Nóvita,CO,4.96,-76.61,74.07,91,100,2.06
Perth,AU,-31.93,115.83,62.89,88,0,6.93
Kwang Binh,VN,17.48,106.6,76.77,89,100,10.83
Nantucket,US,41.28,-70.1,60.44,100,90,19.46
Ambulu,ID,-8.35,113.61,76.32,88,99,3.96
Acaraú,BR,-2.89,-40.12,88.41,50,26,20.71
Yaan,NG,7.38,8.57,82.54,79,48,6.11
Saint George,US,37.1,-113.58,59.0,21,1,9.17
Chui,UY,-33.7,-53.46,64.9,70,94,6.6
